species,beak_type,plumage_color,eye_color,habitat,feeding_type,body_size,Unnamed: 7,рост,семейство,вид,тип_клюва,цвет_оперения,цвет_глаз,среда_обитания,размер_тела,скорость,длина_клюва
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,244.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,263.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,247.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,268.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,148.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,256.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1405.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,88.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,249.0,,,Врановые,,,Коричневый,Красный ,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,605.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,269.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,95.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,701.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,180.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,160.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,164.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,82.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,210.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,208.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1202.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,639.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1313.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,255.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,232.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,253.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,154.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,253.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,619.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,162.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,193.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,79.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,620.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,99.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,262.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,650.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,93.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1307.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,169.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,234.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,250.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,656.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,631.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,219.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,684.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,168.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,239.0,,,Врановые,,,Коричневый,Красный ,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1433.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,256.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,689.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,231.0,,,Врановые,,,Коричневый,Красный ,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,216.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,208.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,158.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,93.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,247.0,,,Врановые,,,Коричневый,Красный ,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1254.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1423.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,214.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,90.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,94.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,238.0,,,Врановые,,,Коричневый,Красный ,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,155.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,256.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,157.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,85.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,97.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,251.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,249.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,252.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,213.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,203.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1466.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,180.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1316.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,239.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,266.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1216.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,239.0,,,Врановые,,,Коричневый,Красный ,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,169.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,233.0,,,Врановые,,,Коричневый,Красный ,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,214.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,665.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,162.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,250.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1345.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,214.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,259.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,241.0,,,Врановые,,,Коричневый,Красный ,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,87.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,641.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1464.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1371.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,161.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,239.0,,,Врановые,,,Коричневый,Красный ,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,191.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,192.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,268.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,199.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,99.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,153.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,644.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,82.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,682.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1494.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,193.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,211.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1454.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,185.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,208.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,97.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1243.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,185.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,698.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,249.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1392.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,649.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,259.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1400.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,661.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,155.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1407.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,147.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1498.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,203.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,246.0,,,Врановые,,,Коричневый,Красный ,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,215.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1437.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,248.0,,,Врановые,,,Коричневый,Красный ,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,101.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1431.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,257.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,250.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,79.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,161.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1353.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,269.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,164.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1300.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,84.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1284.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,215.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1265.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,96.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,635.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,211.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,269.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,81.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,262.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,160.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1222.0,,,,,,,,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,698.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,264.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,193.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,242.0,,,Врановые,,,Коричневый,Красный ,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,236.0,,,Врановые,,,Коричневый,Красный ,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,193.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,170.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,681.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1465.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,213.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,194.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,250.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,84.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,250.0,,,Врановые,,,Коричневый,Красный ,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1428.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,204.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,700.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,242.0,,,Врановые,,,Коричневый,Красный ,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,652.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,207.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,204.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,666.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,683.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,678.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,167.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,182.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,208.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,160.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,210.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,662.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,83.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,266.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,206.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,630.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,159.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,94.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,684.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,631.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,193.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,192.0,,,,,,,,,,,
